"pkgname";"pkgver";"arch";"pkgrel";"location";"dep";"sizeC";"sizeU";"Desc"
"gccmakedep";"1.0.2";"noarch";"2";"/slackware64/x";"";"4 K";"10 K";" gccmakedep gccmakedep is part of X11. For more information about the X.Org Foundation (the providers of the X.Org implementation of the X Window System), see their website: http://www.x.org"
"gd";"2.0.35";"x86_64";"4";"/slackware64/l";"";"148 K";"700 K";" gd (a graphics library) gd is a graphics library. It allows your code to quickly draw images complete with lines, arcs, text, multiple colors, cut and paste from other images, and flood fills, and write out the result as a PNG or JPEG file. This is particularly useful in web applications, where PNG and JPEG are two of the formats accepted for inline images by most browsers. The gd library was written by Thomas Boutell."
"gdb";"7.2";"x86_64";"2";"/slackware64/d";"";"2312 K";"6810 K";" gdb (the GNU symbolic debugger) GDB, the GNU Project debugger, allows you to see what is going on inside another program while it executes -- or what another program was doing at the moment it crashed. GDB can do four main kinds of things to help you catch bugs in the act: 1) Start your program, specifying anything that might affect its behavior. 2) Make your program stop on specified conditions. 3) Examine what has happened, when your program has stopped. 4) Change things in your program, so you can experiment with correcting the effects of one bug and go on to learn about another. The program being debugged can be written in Ada, C, C++, Objective-C, Pascal and many other languages."
"gdbm";"1.8.3";"x86_64";"4";"/slackware64/l";"";"44 K";"150 K";" gdbm (GNU database routines) GNU dbm is a set of database routines that work similar to the standard UNIX dbm routines."
"gdisk";"0.6.14";"x86_64";"1";"/slackware64/a";"";"116 K";"370 K";" gdisk (GPT fdisk) GPT fdisk (gdisk) is a partitioning tool for disks using a GPT (GUID Partition Table). It features a command-line interface, fairly direct manipulation of partition table structures, recovery tools to help you deal with corrupt partition tables, and the ability to convert MBR disks to GPT format. gdisk home: http://www.rodsbooks.com/gdisk/"
"gdk-pixbuf2";"2.23.3";"x86_64";"1";"/slackware64/l";"";"588 K";"3620 K";" gdk-pixbuf2 (image library used by GTK+ v2) The gdk-pixbuf library provides a number of features: - GdkPixbuf structure for representing images. - Image loading facilities, both synchronous and progressive. - Rendering of a GdkPixbuf into various formats: drawables (windows, pixmaps), GdkRGB buffers. - Fast scaling and compositing of pixbufs. - Simple animation loading (ie. animated gifs)."
"geeqie";"1.0";"x86_64";"3";"/slackware64/xap";"";"772 K";"4280 K";" geeqie (Geeqie image viewer) Geeqie is an interactive GTK based image viewer that supports multiple image formats, zooming, panning, thumbnails, and sorting images into collections. Homepage: http://geeqie.sourceforge.net"
"gegl";"0.1.2";"x86_64";"1";"/slackware64/l";"";"332 K";"1910 K";" GEGL (Generic Graphics Library) GEGL (Generic Graphics Library) is a graph based image processing framework. GEGL provides infratructure to do demand based cached non destructive image editing on larger than RAM buffers. Through babl it provides support for a wide range of color models and pixel storage formats for input and output. "
"genpower";"1.0.5";"x86_64";"2";"/slackware64/a";"";"44 K";"160 K";" genpower (UPS monitoring daemon) The genpower daemon, genpowerd, will monitor the status of a serial line connected to a UPS (Uninterruptible Power Supply). If a power failure is detected, genpowerd will notify the system to take the needed steps to react to the condition of the UPS. This may include shutting the system down, or canceling a pending shutdown if the power is restored."
"getmail";"4.20.0";"x86_64";"1";"/slackware64/n";"";"148 K";"870 K";" getmail (POP3 mail retriever) getmail is a POP3 mail retriever, with support for both ordinary and domain (or multidrop) POP3 mailboxes. It is written in Python, and licensed under the GNU General Public License version 2. getmail was written by Charles Cazabon."
"gettext";"0.18.1.1";"x86_64";"1";"/slackware64/a";"";"116 K";"800 K";" gettext (internationalization framework) The GNU gettext package contains 'gettext' and 'ngettext', programs that are used to internationalize the messages given by shell scripts."
"gettext-tools";"0.18.1.1";"x86_64";"1";"/slackware64/d";"";"2424 K";"8830 K";" gettext-tools (internationalization framework tools) The GNU gettext-tools package is useful for authors and maintainers of internationalized software, or for anyone compiling programs that use the gettext functions. This package provides the needed tools and library functions for the handling of messages in different languages. Some other GNU packages use the gettext program (included in this package) to internationalize the messages given by shell scripts."
"getty-ps";"2.1.0b";"x86_64";"1";"/slackware64/a";"";"68 K";"230 K";" getty-ps (console or terminal login) /sbin/getty and /sbin/uugetty. These control the process of logging into your system, and may be used instead of 'agetty', which is the default getty included with the util-linux package. getty-ps supports a number of enhancements such as ringback support. getty-ps was originally written by Paul Sutcliffe, Jr, and is currently maintained by Christine Jamison."
"gftp";"2.0.19";"x86_64";"2";"/slackware64/xap";"";"584 K";"3630 K";" gftp (FTP client for X) gFTP is a multithreaded FTP client for X written using GTK+. It features simultaneous downloads, resuming of interrupted file transfers, file transfer queues, downloading of entire directories, ftp proxy support, remote directory caching, passive and non-passive file transfers, drag-n-drop support, bookmarks menu, stop button, and many more features."
"ghostscript";"9.00";"x86_64";"2";"/slackware64/ap";"";"11876 K";"50600 K";" ghostscript (GPL Ghostscript) GPL Ghostscript is an interpreter of Adobe Systems' PostScript(tm) and Portable Document Format (PDF) languages. Ghostscript is an essential part of the printing subsystem, taking PostScript output from applications and converting it into an appropriate printer or display format. Ghostscript supports many printers directly, and more are supported through add-on packages."
"ghostscript-fonts-std";"8.11";"noarch";"1";"/slackware64/ap";"";"3440 K";"4830 K";" ghostscript-fonts-std (fonts for the Ghostscript interpreter) These fonts are used by the GhostScript interpreter."
"giflib";"4.1.6";"x86_64";"1";"/slackware64/l";"";"172 K";"830 K";" giflib (GIF image format library) A library to load and save (uncompressed only) images using GIF, or Graphics Interchange Format. GIF was introduced by CompuServe in 1987, but is still widely used today (especially on web pages.)"
"gimp";"2.6.11";"x86_64";"3";"/slackware64/xap";"";"10016 K";"57880 K";" gimp (The GNU Image Manipulation Program) The GIMP is a powerful tool for the preparation and manipulation of digital images. The GIMP provides the user with a wide variety of image manipulation, painting, processing, and rendering tools. The GIMP's open design and extensible architecture make for a very powerful end product for photo and image retouching, web graphics design, or digital illustration."
"git";"1.7.4.4";"x86_64";"1";"/slackware64/d";"";"2672 K";"12270 K";" git (the stupid content tracker) Git is a fast, scalable, distributed revision control system with an unusually rich command set that provides both high-level operations and full access to internals. 'git' can mean anything, depending on your mood. Git was originally written by Linus Torvalds and is currently maintained by Junio C. Hamano."
"gkrellm";"2.3.5";"x86_64";"1";"/slackware64/xap";"";"528 K";"2070 K";" gkrellm (GNU Krell Monitors) GKrellM charts SMP CPU, load, Disk, and all active net interfaces automatically. An on/off button and online timer for the PPP interface is provided. Monitors for memory and swap usage, file system, internet connections, APM laptop battery, mbox style mailboxes, and cpu temps. Also includes an uptime monitor, hostname label, and clock/calendar. Bill Wilson is the author of GKrellM."
"glew";"1.5.7";"x86_64";"1";"/slackware64/x";"";"268 K";"2530 K";" glew (the OpenGL Extension Wrangler Library) The OpenGL Extension Wrangler Library (GLEW) is a cross-platform open-source C/C++ extension loading library. GLEW provides efficient run-time mechanisms for determining which OpenGL extensions are supported on the target platform. Homepage: http://glew.sourceforge.net/"
"glib";"1.2.10";"x86_64";"3";"/slackware64/l";"";"148 K";"750 K";" glib (library of C routines, version 1.x) GLib is a library which includes support routines for C such as lists, trees, hashes, memory allocation, and many other things. GLib is required by nearly everything that uses GTK+ version 1.x."
"glib2";"2.28.6";"x86_64";"1";"/slackware64/l";"";"2796 K";"26770 K";" glib2 (library of C routines) GLib is a library which includes support routines for C such as lists, trees, hashes, memory allocation, and many other things."
"glibc";"2.13";"x86_64";"4";"/slackware64/l";"";"11496 K";"138180 K";" glibc (GNU C libraries) This package contains the GNU C libraries and header files. The GNU C library was written originally by Roland McGrath, and is currently maintained by Ulrich Drepper. Some parts of the library were contributed or worked on by other people. You'll need this package to compile programs."
"glibc-i18n";"2.13";"x86_64";"4";"/slackware64/l";"";"6504 K";"111210 K";" glibc-i18n (locale files from glibc) These files go in /usr/lib/locale and /usr/share/i18n/ to provide internationalization support. You'll need this package unless you will be using US English only."
"glibc-profile";"2.13";"x86_64";"4";"/slackware64/l";"";"1136 K";"7230 K";" glibc-profile (GNU C libraries with profiling support) This package contains static versions of the GNU C libraries with support for profiling binaries using gprof. gprof calculates how much time a program spends in each routine which can suggest where to concentrate efforts to improve performance. See the gprof man page for more details."
"glibc-solibs";"2.13";"x86_64";"4";"/slackware64/a";"";"2388 K";"11300 K";" glibc-solibs (shared GNU C libraries) This package contains the shared libraries, binaries, and support files required to run most Linux applications linked with glibc."
"glibc-zoneinfo";"2.13";"noarch";"4";"/slackware64/a";"";"160 K";"3170 K";" glibc-zoneinfo (timezone database) This package allows you to configure your time zone. This timezone database comes from the tzdata and tzcode packages by Arthur David Olson et.al. The latest version and more information may be found at ftp://elsie.nci.nih.gov/pub/ Use the timeconfig utility to set your local time zone."
"glproto";"1.4.12";"noarch";"1";"/slackware64/x";"";"24 K";"140 K";" glproto glproto is part of X11. For more information about the X.Org Foundation (the providers of the X.Org implementation of the X Window System), see their website: http://www.x.org"
"gmime";"2.4.15";"x86_64";"1";"/slackware64/l";"";"244 K";"2060 K";" gmime (MIME parsing library) GMime is a set of utilities for parsing and creating messages using the Multipurpose Internet Mail Extension (MIME) as defined by many Internet RFCs. Jeffrey Stedfast is the author of GMime."
"gmm";"3.1";"noarch";"1";"/slackware64/l";"";"116 K";"940 K";" gmm (C++ generic matrix template library) Gmm++ is a generic C++ template library for sparse, dense and skyline matrices. It is built as a set of generic algorithms (mult, add, copy, sub-matrices, dense and sparse solvers, etc.) for any interfaced vector type or matrix type. It can be viewed as a glue library that allows cooperation between several vector and matrix types. However, basic sparse, dense and skyline matrix/vector types are built in Gmm++, so it can be used as a standalone linear algebra library. "
"gmp";"5.0.1";"x86_64";"1";"/slackware64/l";"";"464 K";"3000 K";" gmp (GNU multiple precision arithmetic library) GNU MP is a library for arbitrary precision arithmetic, operating on signed integers, rational numbers, and floating point numbers. It has a rich set of functions, and the functions have a regular interface."
"gnome-icon-theme";"2.31.0";"x86_64";"1";"/slackware64/l";"";"8008 K";"10550 K";" gnome-icon-theme (default icons used by GTK+) A set of default icons used by many GTK+ applications."
"gnuchess";"5.08";"x86_64";"2";"/slackware64/xap";"";"1040 K";"3800 K";" gnuchess (GPL licensed chess engines and graphical frontends) This is a package of programs for playing chess. It includes the gnuchess and Sjeng chess engines, and the eboard and XBoard graphical interfaces to these engines."
"gnupg";"1.4.11";"x86_64";"1";"/slackware64/n";"";"1092 K";"4910 K";" gnupg (The GNU Privacy Guard) GnuPG is GNU's tool for secure communication and data storage. It can be used to encrypt data and to create digital signatures. It includes an advanced key management facility and is compliant with the proposed OpenPGP Internet standard as described in RFC2440."
"gnupg2";"2.0.17";"x86_64";"1";"/slackware64/n";"";"1568 K";"7690 K";" GnuPG2 (The GNU Privacy Guard version 2.x) GnuPG is GNU's tool for secure communication and data storage. It can be used to encrypt data and to create digital signatures. It includes an advanced key management facility and is compliant with the proposed OpenPGP Internet standard as described in RFC2440 and the S/MIME standard as described by several RFCs. GnuPG 2.0 is the stable version of GnuPG integrating support for OpenPGP and S/MIME. It does not conflict with an installed 1.4.x OpenPGP-only version."
"gnuplot";"4.4.3";"x86_64";"1";"/slackware64/xap";"";"1220 K";"3830 K";" gnuplot (plotting utility) Gnuplot is a command-line driven interactive function plotting utility for UNIX, MSDOS, and VMS platforms. The software is copyrighted but freely distributed (i.e., you don't have to pay for it). It was originally intended as graphical program which would allow scientists and students to visualize mathematical functions and data. Gnuplot supports many different types of terminals, plotters, and printers (including many color devices, and pseudo-devices like LaTeX) and is easily extensible to include new devices."
"gnutls";"2.10.5";"x86_64";"1";"/slackware64/n";"";"1544 K";"3750 K";" gnutls (GNU TLS library) This is a TLS (Transport Layer Security) 1.0 and SSL (Secure Sockets Layer) 3.0 implementation. In brief, GnuTLS can be described as a library which offers an API to access secure communication protocols. These protocols provide privacy over insecure lines, and were designed to prevent eavesdropping, tampering, or message forgery. Homepage: http://www.gnu.org/software/gnutls/"
"gpa";"0.7.5";"x86_64";"1";"/slackware64/n";"";"188 K";"910 K";" gpa (GNU Privacy Assistant) GPA is a graphical frontend for the GNU Privacy Guard (GnuPG, http://www.gnupg.org). GPA can be used to encrypt, decrypt, and sign files, to verify signatures and to manage the private and public keys."
"gperf";"3.0.4";"x86_64";"1";"/slackware64/d";"";"104 K";"280 K";" gperf (a perfect hash function generator) gperf is a perfect hash function generator written in C++. It transforms an n element user-specified keyword set W into a perfect hash function F. gperf currently generates the reserved keyword recognizer for lexical analyzers in several production and research compilers and language processing tools, including GNU C, GNU C++, GNU Java, GNU Pascal, GNU Modula 3, and GNU indent. gperf was written by by Douglas C. Schmidt and Bruno Haible."
"gpgme";"1.3.0";"x86_64";"1";"/slackware64/n";"";"244 K";"1000 K";" gpgme (GnuPG Made Easy) GPGME (GnuPG Made Easy) is a C language library that allows to add support for cryptography to a program. It is designed to make access to public key crypto engines like GnuPG or GpgSM easier for applications. GPGME provides a high-level crypto API for encryption, decryption, signing, signature verification and key management. GPGME uses GnuPG and GpgSM as its backends to support OpenPGP and the Cryptographic Message Syntax (CMS)."
"gphoto2";"2.4.10";"x86_64";"1";"/slackware64/ap";"";"168 K";"840 K";" gphoto2 (A command-line frontend to libgphoto2) libgphoto2 is a cross-platform digital camera library, and gphoto2 is a command-line client for it. Visit the gphoto project online: http://www.gphoto.org"
"gpm";"1.20.1";"x86_64";"5";"/slackware64/a";"";"192 K";"610 K";" gpm (general purpose mouse server) The general purpose mouse server, or gpm, allows you to use the mouse to cut and paste text from the screen. It also acts as a mouse server for applications running on the Linux console, such as the Midnight Commander file manager. NOTE: This program may cause problems when you start X on systems that do not use a serial mouse. If you get an 'unable to open mouse device' error from X, disable /etc/rc.d/rc.gpm."
"grep";"2.7";"x86_64";"1";"/slackware64/a";"";"244 K";"960 K";" grep (print lines matching a pattern) This is GNU grep, the 'fastest grep in the west' (we hope). Grep searches through textual input for lines which contain a match to a specified pattern and then prints the matching lines."
"groff";"1.21";"x86_64";"1";"/slackware64/ap";"";"1844 K";"8480 K";" groff (document formatting system) The GNU groff package provides versions of troff, nroff, eqn, tbl, and other Unix text-formatting utilities. Groff is used to 'compile' man pages stored in groff/nroff format into a form which can be printed or displayed on the screen. These man pages are stored in compressed form in the /usr/man/man? directories."
"gst-plugins-base";"0.10.32";"x86_64";"1";"/slackware64/l";"";"1116 K";"9020 K";" gst-plugins-base (base set of GStreamer plugins) GStreamer Base Plug-ins is a well-groomed and well-maintained collection of GStreamer plug-ins and elements, spanning the range of possible types of elements one would want to write for GStreamer. It also contains helper libraries and base classes useful for writing elements. A wide range of video and audio decoders, encoders, and filters are included."
"gst-plugins-good";"0.10.28";"x86_64";"2";"/slackware64/l";"";"876 K";"3790 K";" gst-plugins-good (good set of GStreamer plugins) GStreamer Good Plug-ins is a set of plug-ins that have good quality code, correct functionality, and a good license (LGPL for the plug-in code, LGPL or LGPL-compatible for the supporting library)."
"gstreamer";"0.10.32";"x86_64";"1";"/slackware64/l";"";"1128 K";"10610 K";" GStreamer (streaming multimedia framework) GStreamer is a library that allows the construction of graphs of a media-handling components, ranging from simple Ogg/Vorbis playback to complex audio (mixing) and video (non-linear editing) processing. Applications can take advantage of advances in codec and filter technology transparently. Developers can add new codecs and filters by writing a simple plugin with a clean, generic interface. GStreamer is released under the LGPL. "
"gtk+";"1.2.10";"x86_64";"5";"/slackware64/l";"";"1028 K";"6250 K";" gtk+ (graphical user interface toolkit, version 1.x) GTK+, which stands for the Gimp ToolKit, is a library for creating graphical user interfaces for the X Window System. This library has been largely replaced by GTK+ version 2, but there are still some good programs that require it."
"gtk+2";"2.24.4";"x86_64";"1";"/slackware64/l";"";"6404 K";"50050 K";" GTK+ version 2 (multi-platform GUI toolkit) This is GTK+, a multi-platform toolkit for creating graphical user interfaces. Offering a complete set of widgets, GTK+ is suitable for projects ranging from small one-off projects to complete application suites."
"gtkspell";"2.0.16";"x86_64";"1";"/slackware64/l";"";"36 K";"240 K";" gtkspell (GTK2 spell checker interface library) GtkSpell provides MSWord/MacOSX-style highlighting of misspelled words in a GtkTextView widget. Right-clicking a misspelled word pops up a menu of suggested replacements."
"gucharmap";"2.33.2";"x86_64";"1";"/slackware64/xap";"";"2088 K";"7260 K";" gucharmap (character map utility) gucharmap is a Unicode character map and font viewer."
"guile";"1.8.8";"x86_64";"1";"/slackware64/d";"";"1516 K";"6270 K";" guile (GNU's extension language library) This is Guile, Project GNU's extension language library. Guile is an interpreter for Scheme, packaged as a library that you can link into your applications to give them their own scripting language. Guile will eventually support other languages as well, giving users of Guile-based applications a choice of languages."
"gutenprint";"5.2.6";"x86_64";"1";"/slackware64/ap";"";"2060 K";"18150 K";" gutenprint (IJS printer driver for Ghostscript and CUPS) Gutenprint (formerly named Gimp-Print) is a suite of printer drivers that may be used with most common print spooling systems, including CUPS, LPRng, or others. These drivers provide high quality printing in many cases equal to or better than proprietary vendor-supplied drivers. Gutenprint also includes an enhanced print plug-in for the GIMP image editor."
"gv";"3.7.1";"x86_64";"2";"/slackware64/xap";"";"208 K";"680 K";" gv (PS/PDF file viewer) gv is a PostScript and PDF previewer. It allows users to view and navigate through PostScript and PDF documents on an X display by providing a user interface for the ghostscript interpreter. gv was written by Johannes Plass, using the source code for Tim Theisen's ghostview 1.5 as a starting point."
"gzip";"1.4";"x86_64";"1";"/slackware64/a";"";"132 K";"290 K";" gzip (file compression utility) Gzip reduces the size of the named files using Lempel-Ziv coding (LZ77). Whenever possible, each file is replaced by one with the extension .gz, while keeping the same ownership modes, access and modification times."
"hal";"0.5.14";"x86_64";"3";"/slackware64/l";"";"492 K";"2650 K";" hal (The HAL Hardware Abstraction Layer) HAL is a piece of software that provides a view of the various hardware attached to a system. HAL keeps detailed metadata for each piece of hardware and provides hooks so that system and desktop software can react to changes in the hardware configuration (such as the insertion of a DVD, or a USB flash memory stick). For more info, see: http://hal.freedesktop.org/"
"hal-info";"20091130";"noarch";"1";"/slackware64/l";"";"48 K";"400 K";" hal-info (device information for HAL) The hal-info package contains device information for HAL, a Hardware Abstraction Layer. For more info, see: http://www.freedesktop.org/Software/hal"
"hdparm";"9.37";"x86_64";"1";"/slackware64/a";"";"68 K";"150 K";" hdparm (read/set hard drive parameters) hdparm provides a command line interface to various hard disk ioctls supported by the Linux ATA/IDE device driver subsystem. This may be required to enable higher-performing disk modes. hdparm was written by Mark Lord."
"hfsutils";"3.2.6";"x86_64";"4";"/slackware64/tcl";"";"144 K";"690 K";" hfsutils (HFS volume utilities) hfsutils is a collection of tools for reading and writing Macintosh HFS volumes. These utilities can manipulate HFS volumes on nearly any medium. Since hfs and xhfs are linked with Tcl/Tk shared libraries, the hfsutils package is included here in the TCL software series. hfsutils was written by Robert Leslie rob@mars.org"
"hicolor-icon-theme";"0.12";"noarch";"1";"/slackware64/l";"";"12 K";"230 K";" hicolor-icon-theme (default icon theme) This is the default fallback theme used by implementations of the icon theme specification. The specification is available at: http://www.freedesktop.org/standards/icon-theme-spec/"
"hplip";"3.11.3a";"x86_64";"1";"/slackware64/ap";"";"12256 K";"22600 K";" hplip (HP print/scan/fax support) HPLIP is an HP developed solution for printing, scanning, and faxing with HP inkjet and laser based printers in Linux. The HPLIP project provides printing support for more than 1400 HP printer models, including Deskjet, Officejet, Photosmart, PSC (Print Scan Copy), Business Inkjet, LaserJet, and LaserJet MFP. For more information, see: http://hplipopensource.com"
"htdig";"3.2.0b6";"x86_64";"3";"/slackware64/n";"";"924 K";"3660 K";" htdig (web indexing and searching system) The ht://Dig system is a complete web indexing and searching system for a small domain or intranet. This system is not indended to replace the need for outside Internet search engines such as Google, but rather to cover the search needs for a single company, campus, or even a particular sub section of a web site."
"httpd";"2.2.17";"x86_64";"3";"/slackware64/n";"";"1460 K";"7460 K";" httpd (The Apache HTTP Server) Apache is an HTTP server designed as a plug-in replacement for the NCSA HTTP server. It fixes numerous bugs in the NCSA server and includes many frequently requested new features, and has an API which allows it to be extended to meet users' needs more easily. Apache is the most popular web server in the known universe; over half of the servers on the Internet are running Apache or one of its variants."
"hunspell";"1.2.9";"x86_64";"1";"/slackware64/l";"";"236 K";"790 K";" hunspell (spell checker and morphological analyzer library) Hunspell is a spell checker and morphological analyzer library and program designed for languages with rich morphology and complex word compounding or character encoding. Hunspell interfaces: Ispell-like terminal interface using Curses library, Ispell pipe interface, OpenOffice.org UNO module. Home page: http://hunspell.sourceforge.net/"
"iceauth";"1.0.4";"x86_64";"1";"/slackware64/x";"";"24 K";"70 K";" iceauth iceauth is part of X11. For more information about the X.Org Foundation (the providers of the X.Org implementation of the X Window System), see their website: http://www.x.org"
"icmpinfo";"1.11";"x86_64";"1";"/slackware64/n";"";"12 K";"40 K";" icmpinfo (ICMP monitoring utility) Icmpinfo is a tool for looking at the ICMP messages received on the running host. It can be used to detect and record attack attempts, as well as help diagnose network problems. icmpinfo was written by Laurent Demailly."
"ico";"1.0.3";"x86_64";"1";"/slackware64/x";"";"24 K";"90 K";" ico ico is part of X11. For more information about the X.Org Foundation (the providers of the X.Org implementation of the X Window System), see their website: http://www.x.org"
"icon-naming-utils";"0.8.90";"x86_64";"2";"/slackware64/l";"";"16 K";"80 K";" icon-naming-utils (generate icon files for your DE) It is a script for maintaining backwards compatibility with current desktop icon themes, while migrating to the names specified in the Icon Naming Specification. Homepage: http://tango.freedesktop.org"
"idnkit";"1.0";"x86_64";"1";"/slackware64/n";"";"144 K";"870 K";" idnkit (Internationalized domain names toolkit) idnkit is a toolkit for handling internationalized domain names. It includes a library for handling internationalized domain names (libidnkit, libidnkitlite), a codeset conversion utility (idnconv), and a command which adds IDN dynamically to applications (runidn). Homepage: http://www.nic.ad.jp/en/idn/"
"ilmbase";"1.0.2";"x86_64";"1";"/slackware64/l";"";"108 K";"950 K";" ilmbase (Industrial Light and Magic base libraries) ilmbase currently includes: IlmThread - a thread abstraction library Imath - a math function library Iex - an excpetion-handling library Half - Ilm's 16 bit floating point format library Homepage: http://www.openexr.org/"
"imagemagick";"6.6.6_10";"x86_64";"1";"/slackware64/xap";"";"4776 K";"31020 K";" imagemagick (a robust collection of image processing tools) ImageMagick is a collection of tools for manipulating and displaying digital images. It can merge images, transform image dimensions, do screen captures, create animation sequences, and convert between many different image formats. ImageMagick was written by John Cristy of ImageMagick Studio. Home page: http://www.imagemagick.org/"
"imake";"1.0.4";"x86_64";"1";"/slackware64/x";"";"40 K";"110 K";" imake imake is part of X11. For more information about the X.Org Foundation (the providers of the X.Org implementation of the X Window System), see their website: http://www.x.org"
"imapd";"2.00";"x86_64";"2";"/slackware64/n";"";"460 K";"2060 K";" imapd (IMAP4rev1 from alpine) /usr/sbin/ipop3d and /usr/sbin/imapd are servers supporting the POP3 and IMAP remote mail access protocols. They allow users to download mail from your Linux system for remote viewing."
"imlib";"1.9.15";"x86_64";"7";"/slackware64/l";"";"464 K";"1560 K";" imlib (image loading and rendering library) Imlib is a display depth-independent image loading and rendering library. Imlib is designed to simplify and speed up the process of loading images and obtaining X Window System drawables. Imlib provides many simple manipulation routines which can be used for common operations."
"indent";"2.2.10";"x86_64";"1";"/slackware64/d";"";"124 K";"460 K";" indent (changes the appearance of a C program) GNU indent changes the appearance of a C program by inserting or deleting whitespace according to a plethora of options. Some canned styles of formatting (like the GNU style, Kernighan and Ritchie style, and original Berkeley style) are supported as well. GNU indent is a descendant of BSD indent."
"inetd";"1.79s";"x86_64";"8";"/slackware64/n";"";"24 K";"60 K";" inetd (Internet super-server) This is a program to listen for connections on certain Internet sockets and invokes a program to service the request. Essentially, inetd allows running one daemon to invoke several others, reducing load on the system. Many of the network services are run through inetd, so you'll probably need it. This version of inetd was ported from OpenBSD."
"infozip";"6.0";"x86_64";"1";"/slackware64/a";"";"400 K";"1280 K";" infozip (Info-ZIP's zip and unzip utilities) zip is a compression and file packaging utility for Unix, VMS, MSDOS, OS/2, Windows NT, Minix, Atari and Macintosh, Amiga and Acorn RISC OS. It is analogous to a combination of the UNIX commands tar(1) and compress(1) and is compatible with PKZIP (Phil Katz's ZIP). A companion program (unzip(1L)), unpacks zip archives."
"inotify-tools";"3.14";"x86_64";"1";"/slackware64/a";"";"44 K";"150 K";" inotify-tools (command line utilities for inotify) inotify-tools is a set of command-line programs for Linux providing a simple interface to inotify. These programs can be used to monitor and act upon filesystem events. For more information see the inotifywait and inotifywatch man pages. inotify-tools home: http://inotify-tools.sourceforge.net/"
"inputproto";"2.0.1";"noarch";"1";"/slackware64/x";"";"64 K";"330 K";" inputproto inputproto is part of X11. For more information about the X.Org Foundation (the providers of the X.Org implementation of the X Window System), see their website: http://www.x.org"
"intel-gpu-tools";"1.0.2";"x86_64";"1";"/slackware64/x";"";"36 K";"160 K";" intel-gpu-tools (Intel DRM Driver Testing Tools) This is a collection of tools for development and testing of the Intel DRM driver. There are many macro-level test suites including xtest, rendercheck, piglit, and oglconform. "
"intltool";"0.41.1";"x86_64";"1";"/slackware64/d";"";"44 K";"190 K";" intltool (Utilities for translation support) This package contains scripts and autoconf files for internationalizing data."
"iproute2";"2.6.37";"x86_64";"1";"/slackware64/n";"";"372 K";"1210 K";" iproute2 (IP routing utilities) These are tools used to administer many advanced IP routing features in the kernel. See Configure.help in the kernel documentation (search for iproute2) for more information on which kernel options these tools are used with. These utilities were written by Alexey Kuznetsov. The current maintainer of iproute2 is Stephen Hemminger."
"iptables";"1.4.10";"x86_64";"1";"/slackware64/n";"";"292 K";"1460 K";" iptables (IP packet filter administration) iptables is a packet filter administration tool. Iptables can be used to build internet firewalls based on stateless and stateful packet filtering, use NAT and masquerading for sharing internet access if you don't have enough public IP addresses, use NAT to implement transparent proxies, aid the tc and iproute2 systems used to build sophisticated QoS and policy routers, do further packet manipulation (mangling) like altering the TOS/DSCP/ECN bits of the IP header, and much more. See: http://www.netfilter.org"
"iptraf-ng";"1.0.2";"x86_64";"2";"/slackware64/n";"";"296 K";"790 K";" iptraf-ng (console-based network monitoring program) IPTraf is a console-based network monitoring program for Linux that displays information about IP traffic such as: Current TCP connections, types of IP packets, packet and byte counts, TCP/UDP counts by ports, packet counts by packet sizes, packet and byte counts by IP address, interface activity, flag statuses on TCP packets, and other LAN station statistics. iptraf-ng was written by Gerard Paul Java."
"iputils";"s20101006";"x86_64";"1";"/slackware64/n";"";"80 K";"220 K";" iputils (a collection of common network tools) The iputils package contains network tools found on nearly all *NIX systems, along with an extra or two. Some of the utilities found here include arping, clockdiff, ping, ping6, rarpd, rdisc, tracepath, tracepath6, and traceroute6. iputils is maintained by YOSHIFUJI Hideaki."
"ipw2100-fw";"1.3";"fw";"1";"/slackware64/n";"";"124 K";"630 K";" ipw2100-fw (Intel ipw2100 wireless firmware) This firmware is used by the ipw2100 kernel module for the Intel PRO/Wireless 2100 Network Connection mini PCI adapter. Your use of this firmware is governed by this Intel license: /usr/doc/ipw2100-fw-1.3/LICENSE Visit Intel's Linux wireless website at this address: http://intellinuxwireless.org/"
"ipw2200-fw";"3.1";"fw";"1";"/slackware64/n";"";"124 K";"590 K";" ipw2200-fw (Intel ipw2200 wireless firmware) This firmware is used by the ipw2200 kernel module for the Intel PRO/Wireless 2915ABG Network Connection and Intel PRO/Wireless 2200BG Network Connection mini PCI adapters. Your use of this firmware is governed by this Intel license: /usr/doc/ipw2200-fw-3.1/LICENSE Visit Intel's Linux wireless website at this address: http://intellinuxwireless.org/"
"irssi";"0.8.15";"x86_64";"3";"/slackware64/n";"";"1124 K";"3680 K";" irssi (Internet Relay Chat client) Irssi is an Internet Relay Chat client. Designed to be both secure and expandable, irssi is easily customized using modules and scripts. For more information, visit: http://irssi.org irssi was written by Timo Sirainen."
"iso-codes";"3.24.2";"noarch";"1";"/slackware64/l";"";"1684 K";"12490 K";" iso-codes (ISO-standard lists) This package provides lists of various ISO standards (e.g. country, language, language scripts, and currency names) in one place, rather than repeated in many programs throughout the system. Homepage: http://pkg-isocodes.alioth.debian.org/"
